country,governorate,locationtypeend,demandtypeone,tacticprimary,violence,combined_sizes
Iraq,Ninewa,Main road,Politics (national),Demonstration / protest,None,301.0
Iraq,Diyala,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,30001.0
Iraq,Najaf,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Qadissiya,University,Politics (national),Demonstration / protest,None,3001.0
Iraq,Wassit,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Company offices,Politics (national),Demonstration / protest,None,301.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,University,Politics (national),Strike,None,3001.0
Iraq,Wassit,University,Politics (national),Strike,None,1678.8664992466097
Iraq,Kirkuk,Midan,Politics (national),March,None,31.0
Iraq,Qadissiya,University,Politics (national),Strike,None,301.0
Iraq,Najaf,University,Politics (national),Strike,None,3001.0
Iraq,Babylon,University,Politics (national),Strike,None,1678.8664992466097
Iraq,Diyala,Midan,Politics (national),Demonstration / protest,None,31.0
Iraq,Missan,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,ThiQar,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Babylon,Main road,Politics (national),Demonstration / protest,None,30001.0
Iraq,Kerbala,Main road,Politics (national),Demonstration / protest,Brawl or gang violence,1678.8664992466097
Iraq,Baghdad,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,University,Politics (national),Strike,None,1678.8664992466097
Iraq,Missan,University,Politics (national),Strike,None,3001.0
Iraq,ThiQar,Main road,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Muthanna,Government building,Politics (national),Demonstration / protest,None,3001.0
Iraq,Kerbala,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Baghdad,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Basrah,University,Politics (national),Demonstration / protest,None,31.0
Iraq,Kerbala,University,Politics (national),Strike,None,1678.8664992466097
Iraq,National (ex Kurdistan),Cannot be determined,Human rights / civic freedoms,Strike,None,1678.8664992466097
Iraq,Baghdad,Midan,Human rights / civic freedoms,Occupation / sit-in,None,1000.0
Iraq,ThiQar,Other,Politics (national),Demonstration / protest,Brawl or gang violence,31.0
Iraq,Qadissiya,Government building,Politics (national),Demonstration / protest,None,5.0
Iraq,Baghdad,School,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Ninewa,University,Politics (national),Demonstration / protest,None,31.0
Iraq,Baghdad,University,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,School,Politics (national),Strike,None,1678.8664992466097
Iraq,SalahalDin,School,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Ninewa,University,Politics (national),Strike,None,1678.8664992466097
Iraq,Muthanna,University,Politics (national),Strike,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Politics (national),March,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Politics (national),March,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Politics (national),March,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Politics (national),March,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Diyala,Cannot be determined,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Corruption,March,None,1678.8664992466097
Iraq,Diyala,Government building,Corruption,March,None,301.0
Iraq,Diyala,Main road,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Ninewa,University,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Babylon,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Cannot be determined,Corruption,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Company offices,Politics (national),Demonstration / protest,None,301.0
Iraq,Muthanna,Cannot be determined,Politics (national),March,None,1678.8664992466097
Iraq,Qadissiya,Midan,Politics (national),Demonstration / protest,None,3001.0
Iraq,Najaf,Midan,Politics (national),March,None,3001.0
Iraq,Kerbala,Midan,Politics (national),Demonstration / protest,None,301.0
Iraq,Baghdad,Government building,Politics (national),Occupation / sit-in,None,1678.8664992466097
Iraq,Baghdad,Government building,Politics (national),Demonstration / protest,None,31.0
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,Riot,3001.0
Iraq,Missan,Main road,Politics (national),Demonstration / protest,None,3001.0
Iraq,Basrah,Infrastructure,Politics (national),Demonstration / protest,Riot,3001.0
Iraq,National,Syndicate/union,Labor,Strike,None,1678.8664992466097
Iraq,Basrah,University,Religious,Demonstration / protest,None,301.0
Iraq,Basrah,University,Religious,Demonstration / protest,None,1678.8664992466097
Iraq,Wassit,Factory or industrial site,Environmental,Occupation / sit-in,None,1678.8664992466097
Iraq,ThiQar,Midan,Human rights / civic freedoms,Demonstration / protest,None,3001.0
Iraq,Kirkuk,Cannot be determined,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Ninewa,University,Human rights / civic freedoms,Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Main road,Politics (national),March,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,Midan,Politics (national),Demonstration / protest,None,1678.8664992466097
Iraq,Baghdad,University,Politics (national),Demonstration / protest,None,1678.8664992466097
